BOLIDE TECHNOLOGY GROUP INC	CA	SAN DIMAS
BONSAI ROBOTICS INC	CA	SANTA CRUZ
BQE SOFTWARE INC	CA	TORRANCE
BRAIN TECHNOLOGIES INC	CA	SAN MATEO
BRAINCHIP INC	CA	LAGUNA HILLS
BRAINOFT INC	CA	SAN MATEO
BRIDGENEXUS TECHNOLOGIES INC	CA	FREMONT
BRIGHTECH INC	CA	BEVERLY HILLS
BRILLIUS TECHNOLOGIES INC	CA	FREMONT
BRILLIUS TECHNOLOGIES INC	CA	PLEASANTON
BUTLR TECHNOLOGIES INC	CA	SAN MATEO
BUTTON TECH INC	CA	MOUNTAIN VIEW
C3 AI INC	CA	REDWOOD CITY
CA ONE TECH CLOUD INC	CA	FREMONT
CAE TECHNOLOGY SERVICES INC	CA	SAN JOSE
CALYPSO TECHNOLOGY INC	CA	SAN FRANCISCO
CANARY TECHNOLOGIES CORP	CA	SAN FRANCISCO
CANVAS INFOTECH INC	CA	FREMONT
CAPE ANALYTICS INC	CA	PALO ALTO
CELANDYNE SOFTWARE SOLUTIONS LLC	CA	SAN JOSE
CENTER FOR SUSTAINABLE ENERGY	CA	SAN DIEGO
CENTRIC SOFTWARE INC	CA	CAMPBELL
CERISE INFOTECH INC	CA	NORWALK
CG VAK SOFTWARE USA INC	CA	WALNUT CREEK
CHARACTER TECHNOLOGIES INC DBA CHARACTER AI	CA	PALO ALTO
CHERISH TECHNOLOGIES INC	CA	FREMONT
CHICO AI USA INC	CA	PALO ALTO
CHINESE OVERSEAS MARKETING SERVICE CORPORATION	CA	ROSEMEAD
CIENET TECHNOLOGIES LLC	CA	SANTA CLARA
CIRQUETECH GROUP INC	CA	AZUSA
CIRRUS CLOUD TECHNOLOGIES INC	CA	DUBLIN
CLAVAX TECHNOLOGIES LLC	CA	SAN JOSE
CLOSER TECH INC	CA	SAN FRANCISCO
CLOUD TECHNOLOGIES INC	CA	SAN FRANCISCO
CLOUDBEES INC	CA	SAN JOSE
CLOUDELY INC	CA	SUNNYVALE
CLOUDEQS LLC	CA	SANTA CLARA
CLOUDERA INC	CA	SANTA CLARA
CLOUDFLARE INC	CA	SAN FRANCISCO
CLOUDIAN INC	CA	SAN MATEO
CLOUDMICROTECH	CA	FREMONT
CLOUDWICK TECHNOLOGIES INC	CA	NEWARK
COCO SOFT INC DBA TERA CLOUDX INC	CA	FREMONT
COGNIX AUTOMATION INC	CA	PLEASANTON
COHERE TECHNOLOGIES INC	CA	SAN JOSE
CONCENTRIC SOFTWARE INC	CA	SARATOGA
CONCRETE AI INC	CA	LOS ANGELES
COUGAR TECH INC	CA	PLEASANTON
COULOMB TECHNOLOGIES INC	CA	SAN FRANCISCO
COUPA SOFTWARE INC	CA	SAN MATEO
COURIE AI INC	CA	MOUNTAIN VIEW
CQ INFOTECH	CA	CERRITOS
CRE8TECH LABS INC	CA	PASADENA
CREATIVE SECURITY TECHNOLOGY INC	CA	CITY OF INDUSTRY
CRESTA INTELLIGENCE INC	CA	PALO ALTO
CROWDAI INC	CA	SAN FRANCISCO
CURIEAI	CA	SANTA CLARA
CURRENT AIR CLOTHING INC	CA	LOS ANGELES
DAI CHEONG TRADING CO INC	CA	LOS ANGELES
DANTA TECHNOLOGIES INC	CA	SAN MARCOS
DATA AI INC D/B/A DATA AI	CA	SAN FRANCISCO
DATA APPLICATION LAB	CA	BUENA PARK
DATA INTELLIGENCE-IT	CA	RANCHO CORDOVA
DATABOOK LABS INC	CA	PALO ALTO
DATABRICKS INC	CA	SAN FRANCISCO
DATAMAX SOFTWARE INC DBA RFGEN	CA	EL DORADO HILLS
DATANETIIX SOLUTIONS INC	CA	IRVINE
DATAPLUS TECHNOLOGIES INC	CA	SOUTH PASADENA
DATAVANT INC	CA	SAN FRANCISCO
DATAVISOR INC	CA	MOUNTAIN VIEW
DATAWALK INC	CA	REDWOOD CITY
DATAYES INC	CA	SAN JOSE
DAX SOFTWARE SOLUTIONS INC	CA	WOODLAND HILLS
DCM INFOTECH LIMITED	CA	FREMONT
DCUBE DATA SCIENCES CORPORATION	CA	IRVINE
DECITECH CONSULTING INC	CA	FREMONT
DEEPROUTE.AI LTD	CA	FREMONT
DELART TECHNOLOGY SERVICES LLC	CA	SANTA MONICA
DEVZ AI TECHNOLOGIES INC	CA	IRVINE
DEW SOFTWARE INC	CA	FREMONT
DGN TECHNOLOGIES INC	CA	FREMONT
DISNEY PARKS TECHNOLOGY SERVICES CO LLC	CA	BURBANK
DISNEY STREAMING TECHNOLOGY LLC	CA	BURBANK
DOMAIN EXPERTS CORPORATION	CA	SUNNYVALE
DOMINO DATA LAB INC	CA	SAN FRANCISCO
DOTDATA INC	CA	SAN MATEO
DPP TECH INC	CA	SAN FRANCISCO
DREAMCRAFT ENTERTAINMENT INC	CA	REDWOOD CITY
DREAMCREW OPERATIONS LLC	CA	WEST HOLLYWOOD
E BASE TECHNOLOGIES INC	CA	FREMONT
EDVENSWA TECH INC	CA	SAN JOSE
EGAIN CORPORATION	CA	SUNNYVALE
ELECTRI TECH SERVICES INC	CA	CITY INDUSTRY
ELEMENT ANALYTICS INC	CA	OAKLAND
ELIXIR TECHNOLOGIES CORPORATION	CA	OJAI
EMINENT TECHNOLOGY CONSULTANCY LLC	CA	PLEASANTON
ENCORE SOFTWARE SERVICES INC	CA	FREMONT
ENTERPRISE VISION TECHNOLOGIES INC	CA	SANTA MONICA
ETECH GLOBAL IT SOLUTIONS LLC	CA	SANTA CRUZ
ETHOS TECHNOLOGIES INC	CA	SAN FRANCISCO
ETOPUS TECHNOLOGY INC	CA	SAN JOSE
EVERGENT TECHNOLOGIES INC	CA	SUNNYVALE
EZDATA SYSTEMS INC	CA	SAN JOSE
FABLETICS INC. (FKA TECHSTLE INC.)	CA	EL SEGUNDO
FACTOR TECHNOLOGIES INC D/B/A PULL	CA	SAN FRANCISCO
FACTORY TECHNOLOGIES INC	CA	MODESTO
FAIRE WHOLESALE INC	CA	SAN FRANCISCO
FAMA TECHNOLOGIES INC	CA	VENICE
FAR AI INC	CA	SAN DIEGO
FATTAIL INC	CA	CALABASAS
FEDERATO TECHNOLOGIES INC	CA	SAN FRANCISCO
FIGURE AI INC	CA	SUNNYVALE
FIREWOOD MARKETING INC	CA	SAN FRANCISCO
FIRST TECHNOLOGY FEDERAL CREDIT UNION	CA	SAN JOSE
FIRSTLAYERAI INC DBA MEDALLION	CA	SAN FRANCISCO
FLAWLESS AI INC	CA	SANTA MONICA
FLEXON TECHNOLOGIES INC	CA	PLEASANTON
FOCUSAI INC	CA	SUNNYVALE
FORAGE TECHNOLOGY CORPORATION	CA	SAN FRANCISCO
FORMA CLOUD INC	CA	MENLO PARK
FORMAGRID INC DBA AIRTABLE	CA	SAN FRANCISCO
FOX TECHNOLOGY CENTER LLC	CA	LOS ANGELES
FOXCONN HON HAI LOGISTICS CALIFORNIA LLC	CA	DIAMOND BAR
FOXIT SOFTWARE INCORPORATED DBA FOXIT CORPORATION	CA	FREMONT
FULL MEALS TECHNOLOGY INC	CA	SAN FRANCISCO
FUTURE TECHNOLOGY INVESTMENT HOLDINGS INC	CA	EL SEGUNDO
G5 ENTERTAINMENT INC	CA	SAN RAFAEL
GAEA GLOBAL TECHNOLOGIES INC	CA	SANTA CLARA
GAIA INTERACTIVE INC	CA	SANTA CLARA
GALILEO TECHNOLOGIES INC	CA	SAN FRANCISCO
GARBER ST TRADING CO DBA WHOLESAIL	CA	SAN FRANCISCO
GASOLINE RETAIL FACILITIES CONSULTING	CA	LOS ANGELES
GATIK AI INC	CA	MOUNTAIN VIEW
GENENTECH INC	CA	SOUTH SAN FRANCISCO
GENENTECH USA INC	CA	SOUTH SAN FRANCISCO
GENESYS CLOUD SERVICES INC	CA	MENLO PARK
GEP ADMINISTRATIVE SVCS INC DBA ENTERTAINMENT PARTNERS LLC	CA	BURBANK
GERMAINS SEED TECHNOLOGY	CA	GILROY
GIGACLOUD TECHNOLOGY USA INC	CA	CITY INDUSTRY
GIGACLOUD TECHNOLOGY USA INC	CA	ROWLAND HEIGHTS
GLEAN TECHNOLOGIES INC	CA	PALO ALTO
GLOBAL EDGE SOFTWARE INC	CA	MILPITAS
GLOBAL TECHNOLOGY AND SERVICES INC	CA	SAN JOSE
GOLDEN ENTROPY MARKETING INC D/B/A EPCVIP INC	CA	ENCINO
GOODDOLPHIN TECHNOLOGIES LLC	CA	MILPITAS
GOODIX TECHNOLOGY INC	CA	SAN DIEGO
GORILLA TECH INC	CA	SAN DIEGO
GRAIL LLC	CA	MENLO PARK
GRANDLINE TECHNOLOGIES LLC	CA	PALO ALTO
GREAT SOFTWARE LABORATORY INC	CA	SAN FRANCISCO
GREAT SOFTWARE LABORATORY INC	CA	SAN JOSE
GREEN HILLS SOFTWARE LLC	CA	SANTA BARBARA
GRIFOLS WORLDWIDE OPERATIONS USA INC	CA	LOS ANGELES
GRIN TECHNOLOGIES INC	CA	SACRAMENTO
GROWTHPOINT TECHNOLOGY PARTNERS LLC	CA	SAN FRANCISCO
GSPANN TECHNOLOGIES INC	CA	MILPITAS
GSR TECHNOLOGIES INC	CA	IRVINE
GTM AI INC	CA	PALO ALTO
